id	Status	Created	Resolved
2	resolved	Wed Apr 24 17:38:26 2002	Tue Apr 30 14:53:50 2002
3	resolved	Wed Apr 24 17:51:13 2002	Thu Apr 25 12:04:40 2002
7	resolved	Thu Apr 25 16:05:27 2002	Wed May 01 15:47:40 2002
8	resolved	Thu Apr 25 16:16:02 2002	Mon May 13 19:26:10 2002
9	rejected	Thu Apr 25 16:20:44 2002	Fri Jun 27 22:14:53 2014
10	resolved	Thu Apr 25 16:24:12 2002	Tue Jul 30 17:58:29 2002
11	open	Thu Apr 25 17:01:52 2002	Not set
12	resolved	Thu Apr 25 17:27:59 2002	Thu May 30 14:33:15 2002
14	resolved	Mon Apr 29 10:01:18 2002	Mon Apr 29 12:39:13 2002
15	resolved	Mon Apr 29 17:13:13 2002	Mon Apr 29 17:18:37 2002
16	resolved	Wed May 01 12:20:35 2002	Thu May 02 10:08:32 2002
17	resolved	Wed May 01 20:09:16 2002	Fri Jan 03 21:40:14 2003
18	resolved	Fri May 03 10:21:38 2002	Tue May 07 17:38:12 2002
20	resolved	Sat May 04 20:44:22 2002	Wed Dec 04 01:03:46 2002
22	resolved	Tue May 07 08:59:29 2002	Fri Jun 27 20:55:01 2014
23	resolved	Tue May 07 08:59:34 2002	Wed May 08 17:13:23 2002
24	resolved	Tue May 07 17:01:51 2002	Wed May 08 17:20:48 2002
25	resolved	Tue May 07 21:46:52 2002	Sat Jun 28 13:14:01 2014
26	resolved	Thu May 09 22:13:32 2002	Sun May 12 21:47:11 2002
27	resolved	Thu May 09 22:41:47 2002	Fri Jun 14 14:51:58 2002
28	resolved	Fri May 10 09:55:48 2002	Thu May 30 08:26:25 2002
29	resolved	Sun May 12 22:48:56 2002	Fri Nov 15 09:06:36 2002
30	resolved	Mon May 13 10:10:08 2002	Thu May 30 12:19:42 2002
34	resolved	Tue May 14 18:56:14 2002	Fri Jun 14 14:43:01 2002
38	resolved	Thu May 16 19:24:10 2002	Thu May 16 19:47:25 2002
39	resolved	Fri May 17 08:56:54 2002	Thu May 30 14:27:14 2002
40	resolved	Fri May 17 14:53:25 2002	Thu May 23 14:57:28 2002
41	resolved	Fri May 17 15:12:27 2002	Sun May 19 02:00:31 2002
43	resolved	Fri May 17 19:50:58 2002	Thu Nov 28 20:35:25 2002
44	open	Fri May 17 21:24:32 2002	Not set
45	resolved	Sat May 18 18:27:30 2002	Thu May 23 13:54:47 2002
46	resolved	Sun May 19 13:55:42 2002	Tue May 28 02:07:30 2002
47	resolved	Sun May 19 13:57:10 2002	Thu Jul 18 15:32:40 2002
48	resolved	Sun May 19 14:36:05 2002	Thu May 30 09:29:14 2002
49	resolved	Tue May 21 11:33:43 2002	Thu May 30 18:48:21 2002
50	resolved	Wed May 22 09:04:08 2002	Thu Jul 18 12:54:38 2002
51	resolved	Thu May 23 14:20:17 2002	Thu May 30 17:47:02 2002
52	resolved	Thu May 23 16:27:27 2002	Thu May 30 20:07:23 2002
53	resolved	Fri May 24 09:25:59 2002	Mon May 27 17:10:38 2002
54	resolved	Sat May 25 11:56:22 2002	Wed May 29 13:07:13 2002
56	resolved	Sun May 26 11:34:49 2002	Thu May 30 16:06:52 2002
57	resolved	Tue May 28 20:00:46 2002	Thu May 30 19:29:24 2002
58	resolved	Wed May 29 21:20:46 2002	Wed May 29 23:00:09 2002
59	resolved	Wed May 29 21:45:30 2002	Wed Nov 06 17:24:25 2002
60	resolved	Thu May 30 10:51:18 2002	Thu May 30 19:09:12 2002
61	new	Thu May 30 17:49:52 2002	Not set
62	resolved	Fri May 31 09:19:57 2002	Thu Jun 13 23:45:26 2002
